"Fast,expected"	"Medium,expected"	"Slow,expected"	"Fast,reg"	"Medium,reg"	"Slow,reg"	"Fast,eq"	"Medium,eq"	"Slow,eq"
"1"	1000	1000	10000	1114,65882285229	907,532708252311	10079,7799365482	982,614821405753	838,078596200134	10095,1385649114
"2"	979	979	9790	1084,96354619318	1128,05299305155	9583,41879575042	1013,54690259423	902,745627149277	9768,30822634146
"3"	959	959	9590	1118,30786471683	967,363506770889	9547,81144017354	911,024555281281	1039,81436135407	9433,65661435629
"4"	939	939	9390	1017,2091751142	994,332798491632	9321,88837346313	876,782411424767	1003,41517887675	9224,26566141563
"5"	920	920	9200	1051,81134726259	1084,66948349031	9103,92004351559	957,160626198501	892,557232438575	9288,29569201053
"6"	901	901	9010	1089,82383281084	745,57042609903	9347,86034327049	937,877251636746	730,046360064967	9314,85212767572
"7"	882	882	8820	978,642256503344	943,41333655062	9008,23527004022	752,478747826267	1120,27579432957	8775,69356163127
"8"	864	864	8640	915,52879600983	947,675222818007	8688,44992231548	819,465038992712	877,462150295353	8715,28788375651
"9"	846	846	8460	877,517627795023	933,733346878489	8481,01974851944	779,517825016768	849,769797056927	8518,55058692348
"10"	829	829	8290	962,269818231998	853,45466077627	8243,41458656845	902,080844588365	672,195144692605	8369,85042558366
"11"	812	812	8120	955,003132029933	848,698864791595	8302,4822066407	758,53720151965	963,187740709861	8138,19249283663
"12"	795	795	7950	929,426787446673	878,217738812491	7836,29427833798	839,99680006643	791,270630544375	7855,73008766363
"13"	779	779	7790	905,896073147687	894,012066006353	7880,14221956031	819,872417586411	782,91496104426	7946,66159088802
"14"	763	763	7630	1004,21655370148	679,488854952933	7534,05143855569	908,883410188059	550,656488777327	7611,65735491525
"15"	747	747	7470	844,902376212385	764,342931635611	7527,87467598216	756,485278844818	703,261085008564	7514,84111346367
"16"	732	732	7320	793,688222623032	724,368325326504	7462,80602459989	690,583643987011	680,668915616668	7471,32532988566
"17"	717	717	7170	874,176667644797	727,723198844778	7104,50036980108	742,547494589248	743,107072039802	7034,06827744984
"18"	702	702	7020	814,851735468865	653,472733915987	7220,92095274296	699,533661491762	592,83980265881	7270,21671190614
"19"	687	687	6870	813,094011551066	678,479257488398	6890,91449692234	688,307052984838	706,870499150245	6810,17960832292
"20"	673	673	6730	787,257129250956	643,447475683861	7008,33666030869	618,817982080092	737,204335215577	6868,96050300271
"21"	659	659	6590	805,315059201048	709,162795760194	6475,83738884106	666,263961454862	737,90032903222	6408,38073300934
"22"	645	645	6450	734,742259369168	757,350465420704	6428,07164062254	668,592680031022	682,529850521775	6446,41026041942
"23"	632	632	6320	677,214251886471	743,94488484013	6287,00742667625	629,006710265122	582,980450180486	6421,30563566557
"24"	619	619	6190	758,730272596076	608,741678162141	6134,67561790058	666,211814210146	533,730424024004	6185,65863501696
"25"	606	606	6060	739,861607862604	630,313949882184	5846,54798617928	629,745592467845	620,567880729701	5818,0589907662
"26"	593	593	5930	657,647610101676	665,091503383246	5853,95060598506	598,947218806259	543,521750281242	5957,02141651601
"27"	581	581	5810	759,672222371291	544,134233728118	5931,43715393794	618,700604013003	612,56005328932	5819,72394585384
"28"	569	569	5690	696,708550160201	643,769650752247	5486,96171628503	575,159858168845	649,8096441276	5476,89827622697
"29"	557	557	5570	660,318455781462	432,632554883521	5707,30616271434	554,475832519681	477,177544637474	5626,09179056048
"30"	545	545	5450	627,515599790104	645,875256189338	5491,98812502814	536,204049240851	643,782777150186	5446,81287962292
"31"	534	534	5340	581,902353338028	606,263856148626	5294,55468892435	546,255617918929	467,67326781836	5423,16224131223
"32"	523	523	5230	662,588227551851	369,348263715938	5338,80281726524	497,950663963609	515,725862822866	5167,28469199713
"33"	512	512	5120	668,468842509428	316,505715129815	5253,6422380659	501,377423754195	428,333556128674	5132,42042379199
"34"	501	501	5010	529,080355384003	568,582636643496	4950,26630531167	433,853125813537	561,291389544783	4957,7266922611
"35"	490	490	4900	562,238545770715	614,523902391347	4763,23399262938	514,022238650999	553,312495256323	4783,40776013453
"36"	480	480	4800	521,891409681875	497,407312027217	4878,60877784173	448,509124625534	489,097122125335	4825,68699217304
"37"	470	470	4700	554,402710792801	452,339501530623	4720,06481715128	516,037432771111	397,03766410309	4736,34797475377
"38"	460	460	4600	529,024057315737	511,049829876411	4443,72555912423	503,403782371374	404,731756931728	4527,43198353469
"39"	450	450	4500	510,890699682423	448,194840247206	4587,84948488379	393,641550730795	540,594355369559	4475,07773214607
"40"	440	440	4400	554,020394095014	334,218356964157	4556,15289338994	445,631940286004	388,021330063792	4458,5867465129
"41"	431	431	4310	563,01076110085	358,994811876019	4434,48522744352	512,116112514663	262,512048607594	4537,71628978811
"42"	422	422	4220	477,908871149148	472,722701157472	4222,19590755855	443,652069015444	406,641010291997	4232,93522856542
"43"	413	413	4130	417,384189123513	556,435430914999	4021,25517920426	409,030746866037	445,188188312019	4087,51343434029
"44"	404	404	4040	527,475446238791	446,994631728739	4052,30699600144	459,279350545239	417,653042332213	4059,48917924263
"45"	395	395	3950	483,186432572074	379,166047755571	3814,51515843391	384,37025076485	445,457752615837	3725,85923282518
"46"	387	387	3870	510,056730067217	399,479645943461	3741,2602912869	464,008716800155	357,656807046577	3756,16752308661
"47"	379	379	3790	458,877608795783	329,600929264861	3906,96242624384	368,980669505225	363,993443403631	3858,5082834324
"48"	371	371	3710	434,264137738505	351,044079847857	3838,90847763153	354,289828836982	386,994479703669	3774,1744476762
"49"	363	363	3630	461,706962017915	336,103898103743	3535,50476242072	386,989195218257	342,493705688015	3525,48674008296
"50"	355	355	3550	347,06331579926	443,355333276627	3413,25961400135	303,809530568633	404,326803132	3459,59642059506
"51"	347	347	3470	379,142536266886	342,196662304668	3454,8385955231	335,653079783312	283,941500924348	3506,32213944124
"52"	340	340	3400	390,993332288126	310,037916341812	3425,25596897063	307,366532997333	395,133545680706	3302,40463025875
"53"	333	333	3330	440,467315974124	247,595484125964	3555,60245504209	385,09142996403	225,374379901326	3561,89083026854
"54"	326	326	3260	369,162379334189	276,902691365549	3275,5838935219	338,307732210654	220,192779341243	3288,15359056934
"55"	319	319	3190	314,300752701156	333,379032861403	3388,08644830698	315,402464870098	238,285157575199	3455,54841584664
"56"	312	312	3120	356,8607534487	343,912988015431	3099,2175842796	302,25059631605	340,879929036111	3084,67257288102
"57"	305	305	3050	269,951934620967	321,936461473188	3104,25107868564	243,15928506308	278,81046679773	3148,20152314415
"58"	298	298	2980	318,442240381032	345,067986894383	2945,92934716788	283,717063610212	309,03736510624	2958,70712546381
"59"	292	292	2920	377,324152457145	268,279539607406	2945,42675679143	362,802072019885	164,249737674923	3056,30883262527
"60"	286	286	2860	349,719692835702	314,185748571153	2768,92029268558	277,375518661002	372,154843720666	2694,87601633933
"61"	280	280	2800	344,470421692668	286,122843180688	2878,68770343101	305,843524889283	234,984752809597	2942,76521244566
"62"	274	274	2740	368,256851638844	265,663497477112	2747,12334798984	263,848758168412	364,153814966575	2643,5051606601
"63"	268	268	2680	248,810324868682	319,52506201465	2722,40197917567	224,262583140621	275,678786206957	2755,91597539297
"64"	262	262	2620	359,048283492775	279,53727339253	2658,96179032631	322,429499879249	250,540832173509	2676,76951627567
"65"	256	256	2560	285,037582204727	291,412595371248	2438,98719251538	279,16891895627	245,633998372018	2427,08169036801
"66"	250	250	2500	255,109526813926	324,907316336275	2461,97747648617	243,930378189547	287,028918343618	2447,40297234844
"67"	244	244	2440	254,089144860059	333,008180907545	2395,02730596957	275,384745716084	207,170354068081	2504,98782806528
"68"	239	239	2390	337,899624250172	182,310715707549	2415,96887041358	296,181721523599	178,181956374032	2397,71415496983
"69"	234	234	2340	182,653822746579	332,340910719572	2287,0974378564	170,684160334897	285,887744498462	2319,87562177658
"70"	229	229	2290	261,19152528162	253,281274819656	2374,87449873895	222,52960697861	228,38695126026	2392,09718683234
"71"	224	224	2240	232,686147849804	253,383369096236	2301,7637989169	227,034433354543	199,296024342131	2323,41531977789
"72"	219	219	2190	288,404740875171	124,600568848118	2247,3792569917	210,866899242414	176,73644783081	2202,75176515298
"73"	214	214	2140	238,025893289127	275,197652996894	2147,58799748228	195,523677299065	294,846424873789	2103,46470347083
"74"	209	209	2090	230,978027084066	257,01893271093	2068,82849554445	203,672783844784	209,308493630961	2135,71320574833
"75"	204	204	2040	240,026923864643	165,759564859759	2066,85900141616	182,392604839675	212,153976404763	2014,5888829991
"76"	199	199	1990	243,7257742271	230,209125794472	2080,66648617862	183,588575137527	293,237362258078	1985,67719089243
"77"	195	195	1950	229,354525301746	225,077626069265	1998,90672973171	205,597588298001	208,573581272834	2005,69065813119
"78"	191	191	1910	205,69531973521	246,952593415481	1813,5590262549	185,732895446046	201,894277152113	1872,08274886816
"79"	187	187	1870	230,432624693403	157,280063434896	2010,69090312257	150,893539762714	237,182081756823	1934,65491582278
"80"	183	183	1830	213,239119627115	140,432154769451	1836,26067272175	196,014323428931	112,147113355426	1856,99331922074
"81"	179	179	1790	169,575938574594	238,622807174584	1775,88841418765	164,617563511986	184,043958779636	1837,2236388631
"82"	175	175	1750	167,074485674389	225,004462736811	1897,92820734296	139,973519590288	224,425230208688	1886,68351698741
"83"	171	171	1710	187,507574809169	165,773881941855	1736,26656175044	152,282718042203	181,908359933	1705,08167405434
"84"	167	167	1670	195,564644084357	177,757854047995	1638,31576456667	161,119240072458	164,223220023236	1660,54557309795
"85"	163	163	1630	280,814380770732	112,496874550175	1638,07411619112	221,264806177247	163,782069931694	1583,49628975919
"86"	159	159	1590	192,595651705406	136,825181207691	1584,69361023242	171,553824147876	124,302550259867	1591,70470706395
"87"	155	155	1550	187,467029573556	163,192319719863	1555,02996064035	193,789552525927	75,1248336412032	1650,1425399422
"88"	151	151	1510	139,990789633603	168,254788712468	1488,66215635504	113,062445376465	188,413997809626	1457,84233391167
"89"	147	147	1470	166,480068216426	161,35001117555	1365,8800295945	127,356436491675	192,517497476899	1319,581833975
"90"	144	144	1440	144,14849100413	194,547736967461	1421,65616918202	141,363005762613	152,539951012357	1450,83711598886
"91"	141	141	1410	140,66495014109	136,036923948411	1466,4418825769	107,805281004476	161,899673460703	1441,65916302018
"92"	138	138	1380	164,246586752058	157,565555551835	1350,86798685829	131,077066910773	154,898321474534	1373,20584161388
"93"	135	135	1350	105,097599253959	139,001323813745	1459,20280413663	88,0033803955741	110,901037091877	1512,52890616892
"94"	132	132	1320	161,055813646121	109,306208006694	1418,0071078207	131,207322457595	108,254498179167	1421,47424500008
"95"	129	129	1290	143,145835173798	148,609519094227	1285,25930108612	128,469415402794	135,312469491277	1288,08381077093
"96"	126	126	1260	102,919885415999	225,259128648493	1240,04500416411	93,0990470456334	197,913072173965	1275,06826785328
"97"	123	123	1230	137,171059512061	147,989182391079	1253,56674023634	120,656714606122	134,219745077055	1264,20446657322
"98"	120	120	1200	142,453350289634	152,126058889462	1129,60715813273	115,736956893234	164,722126595811	1098,75938249986
"99"	117	117	1170	140,687862645268	94,1519849892916	1177,2048159475	118,731762451833	106,172262674024	1147,09256796071
"100"	114	114	1140	142,014173460518	110,674194925919	1171,98696887908	129,201393645387	104,370452448393	1157,10979828424
"101"	111	111	1110	81,7007395534483	179,518021768415	1064,73411562263	98,7329064790834	99,7012206639692	1160,49128451828
"102"	108	108	1080	107,014135930833	139,126509392161	1084,67496999996	104,198351321766	118,300504833302	1093,94719887143
"103"	105	105	1050	72,6645876529005	229,709670445777	894,853063335572	74,5449364157354	215,440484054095	900,183283972802
"104"	102	102	1020	110,843054165614	99,000034690107	994,6505944162	109,242826985052	59,8038902364695	1031,3792025355
"105"	99	99	990	67,9098030275395	155,403445381314	988,360068401994	87,2050677896089	83,2585014828269	1043,37725050414
"106"	97	97	970	83,6778849323855	148,237602807951	970,132512920472	78,9285097300426	123,765641471828	993,974106638679
"107"	95	95	950	107,062789901859	87,1004304132975	936,654463402585	86,4312857518043	87,0011318004704	943,762268068865
"108"	93	93	930	122,131536171464	59,8755518449116	943,37786726622	96,6511856424167	83,6229982086756	915,536766751665
"109"	91	91	910	109,923597907973	69,4451378849612	964,054063664526	99,3657236488911	72,7667447174947	939,489828236676
