"Fast,expected"	"Medium,expected"	"Slow,expected"	"Fast,reg"	"Medium,reg"	"Slow,reg"	"Fast,eq"	"Medium,eq"	"Slow,eq"
"57"	305	305	3050	333,489446735234	345,922359785382	3450,27665582156	311,503884967598	245,623811542056	3608,30449656796
"58"	298	298	2980	370,303373141246	242,192106925841	3846,32822420317	340,864590764951	146,29758537706	3973,67943610792
"59"	292	292	2920	356,109371575239	220,107173850665	3552,70977324437	293,302734897181	211,095089099534	3584,14503066333
"60"	286	286	2860	328,811160393993	187,451891560027	3564,77029374586	276,725146188723	170,200911164573	3602,29016119329
"61"	280	280	2800	349,526596172841	202,36847976711	3571,75789582222	260,548757292471	285,651468373916	3518,0199596915
"62"	274	274	2740	319,125390314034	220,182100259362	3419,13181955839	331,478576243857	113,574838266638	3505,58403904118
"63"	268	268	2680	332,933807875979	327,697894731732	3233,39331286347	286,861926244241	283,757294601207	3299,04419748732
"64"	262	262	2620	316,096668976857	161,841804314358	3237,93980368426	279,164761468296	125,286702573555	3315,11797029528
"65"	256	256	2560	317,454151556171	238,467051024186	3076,71138691131	296,194060867223	182,932473896239	3141,61870330278
"66"	250	250	2500	322,533084134875	61,9964279346777	3308,77192032173	281,665949910269	28,3230443296404	3356,97401704006
"67"	244	244	2440	301,940436711629	154,732594799275	3145,53709934215	271,651629088322	109,923566500202	3202,60078027732
"68"	239	239	2390	303,935596475035	119,771840036774	3016,99913960351	256,302324232403	115,206609624392	3025,52459306088
"69"	234	234	2340	327,419519362834	112,945471583234	3188,69827423627	266,248155023113	141,968962052892	3152,54629907612
"70"	229	229	2290	236,339938852489	152,130437363994	3176,41389165856	225,482403898123	103,045546551464	3218,49479406471
"71"	224	224	2240	306,937670915627	99,6472340455966	2920,43739887347	231,624907867128	137,369976309149	2912,43707659619
"72"	219	219	2190	199,835384891185	253,582450539798	3001,52054687534	214,340282008018	136,654238180422	3156,06201386887
"73"	214	214	2140	272,523363138293	101,990273830338	2865,90610820332	264,777159367414	32,3648068905765	2939,09045854314
"74"	209	209	2090	269,612805253159	121,950377884609	2911,55522408981	222,053571399887	118,509294720731	2911,53718778541
"75"	204	204	2040	238,03800727359	179,887951308156	2729,86582168047	209,627893578008	134,899904742287	2826,16709925808
"76"	199	199	1990	261,012035335116	127,137774306329	2753,9943861152	240,919544301964	107,808933795123	2754,65873099881
"77"	195	195	1950	219,155321806438	158,199719639038	2585,22513865106	186,813869113329	112,317330944709	2671,75916928048
"78"	191	191	1910	242,599473528617	66,5275723751574	2732,9714117328	196,590136702144	83,4610627666502	2757,31039801588
"79"	187	187	1870	204,40400802775	182,264264522373	2506,81486992923	196,603136483551	139,974571739274	2533,42281665488
"80"	183	183	1830	173,681994810022	130,670770854103	2550,81708936629	147,309979546346	126,714669665055	2567,51830162493
"81"	179	179	1790	200,933027342203	229,35708455112	2392,74701886892	186,044905837314	186,837197224353	2458,59173163749
"82"	175	175	1750	232,178756426301	63,9655305798442	2520,58780149642	188,687014077157	78,7458040572746	2505,17205112615
"83"	171	171	1710	213,198053926258	159,301272807029	2284,75520368827	204,805782455109	96,0998382375242	2381,03115175136
"84"	167	167	1670	183,701168226644	102,741329017513	2315,87111199549	160,227657371109	88,980132829352	2358,40494138342
"85"	163	163	1630	177,448236297441	104,839086754364	2253,47740911572	182,861659644736	9,35362606649746	2377,37108523679
"86"	159	159	1590	161,964885579787	107,922219604538	2340,74754378092	183,034482473512	0	2490,8166113144
"87"	155	155	1550	178,19372388004	130,287940104108	2217,19976307883	167,474753969725	91,4376331724641	2268,69976635087
"88"	151	151	1510	139,355699758316	194,759884314135	2182,34298629761	118,937284377696	173,584891952182	2220,28169280391
"89"	147	147	1470	168,406600492199	150,227819530385	2161,49621638005	178,60148256923	70,8413039567308	2248,87548713601
"90"	144	144	1440	134,154696787828	121,760058233679	2151,9897786069	143,220096998059	80,2177950877296	2169,78506811778
"91"	141	141	1410	160,770935176618	59,1777341228521	2230,91539100391	154,417696229288	6,57559242535066	2312,86103490477
"92"	138	138	1380	120,102826999353	113,594447300563	2110,93431922318	100,500885107121	100,125808952971	2158,41398067017
"93"	135	135	1350	163,177737075287	99,2104924672344	2084,27758370239	135,101071107614	104,314955145135	2082,81267117586
"94"	132	132	1320	210,223777567101	83,5245558088491	2055,40808048273	171,306634055199	81,9827502690126	2106,74106242458
